Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode №,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season №,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
1997/1998,Alan Smart,,"['1997 (1997 version)', '1999 (1999 version)']",Derek Drymon (uncredited),1a,,,,"""Reef Blower""",,"['PILOT (original 1997 cut)', '2515-127 (1999 recut version)']","8 minutes, 16 seconds",1,"['""Reef Blower""', '""Tea at the Treedome""']",Stephen Hillenburg,Derek Drymon,,,,9:30 pm,2.96,"['Stephen Hillenburg', 'Derek Drymon', 'Tim Hill']","French Narrator, Sea urchins, SpongeBob SquarePants, Gary the Snail, Shelley, Patrick Star, Squidward Tentacles, Eugene H. Krabs, Incidentals, Incidental 30, Incidental 30A, Betsy Krabs",Help Wanted
"May 1, 1999","['Fred Miller', 'Tom Yasumi (uncredited)']",,1999,Derek Drymon (uncredited),1b,,,,"""Tea at the Treedome""","""Help Wanted""",2515-126,"2 minutes, 50 seconds",1,"['""Help Wanted""', '""Tea at the Treedome""']",Paul Tibbitt (uncredited),Jay Lender (uncredited),,,,9:38 pm,2.96,"['Stephen Hillenburg', 'Derek Drymon', 'Tim Hill (uncredited)']","SpongeBob SquarePants, Squidward Tentacles, Reef blower, Scallop, Incidentals, Fred, Incidental 2, Incidental 3",Reef Blower
"May 1, 1999",Tom Yasumi,,1999,Derek Drymon,1c,,,,"""Bubblestand""","""Reef Blower""",2515-101,11 minutes,1,"['""Help Wanted""', '""Reef Blower""']",Paul Tibbitt,Mark O'Hare,,,,9:45 pm,2.96,"['Peter Burns', 'Doug Lawrence', 'Paul Tibbitt']","SpongeBob SquarePants, Jellyfish, Lavender jellyfish, Sandy Cheeks, Giant clam, Patrick Star, Sandy's orange bird",Tea at the Treedome
"July 17, 1999",Tom Yasumi,,1999,Derek Drymon,2a,,,,"""Ripped Pants""","""Tea at the Treedome""",2515-105,"11 minutes, 4 seconds",1,"""Ripped Pants""",Ennio Torresan,Erik Wiese,,,,10:00 am,2.51,"['Ennio Torresan', 'Erik Wiese', 'Stephen Hillenburg', 'Derek Drymon', 'Tim Hill']","SpongeBob SquarePants, Scallop, Squidward Tentacles, Patrick Star, Duck bubble, Elephant bubble",Bubblestand
"July 17, 1999",Edgar Larrazábal,,1999,Derek Drymon,2b,Jay Lender as Chef (uncredited),,,"""Jellyfishing""","""Bubblestand""",2515-106,"11 minutes, 2 seconds",1,"""Bubblestand""",Paul Tibbitt,Mark O'Hare,,,,10:15 am,2.51,"['Paul Tibbitt', 'Peter Burns']","French Narrator, SpongeBob SquarePants, SpongeBob's swim trunks, Sandy Cheeks, Squidward Tentacles, Larry the Lobster, Chef, Sports guy, Incidentals, Fred, Incidental 2, Incidental 3, Steven, John, Tom, Incidental 7, Incidental 8, Incidental 9, Incidental 10, Priscilla, Incidental 13, Incidental 14, Incidental 15, Incidental 16, Incidental 17, Incidental 18, Incidental 19, Incidental 20, Incidental 21, Carol, Incidental 23, Incidental 24, Incidental 24A, Incidental 27, Incidental 28, Incidental 29, Incidental 30, Incidental 31, Don the Whale, Crowd, Incidental 35, Harold, Tuck Tucker, Scooter, Scooter, Incidental 39, Fish eating burger, Fish at snack bar, Fish at snack bar, Judy, Incidental 46, Sadie, Incidental 48, Incidental 49, Lifeguard, ""Loser"" incidentals, Loser 1, Loser 2, Loser 3",Ripped Pants
"July 31, 1999",Alan Smart,,1999,Derek Drymon,3a,,,,"""Plankton!""","""Ripped Pants""",2515-103,"11 minutes, 2 seconds",1,"""Plankton!""",Steve Fonti,Chris Mitchell,,,,10:00 am,2.89,"['Steve Fonti', 'Chris Mitchell', 'Peter Burns', 'Tim Hill']","French Narrator, Jellyfish, SpongeBob SquarePants, Patrick Star, Squidward Tentacles, Queen jellyfish",Jellyfishing
"July 31, 1999",Edgar Larrazábal,,1999,Derek Drymon,3b,Alex the Labrador Retriever as himself,Donna Castricone,,"""Naughty Nautical Neighbors""","""Jellyfishing""",2515-114,"11 minutes, 1 second",1,"""Jellyfishing""","Ennio Torresan, Jr.",Erik Wiese,Alan Smart,,,10:15 am,2.89,"['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']","Sheldon J. Plankton, SpongeBob SquarePants, Karen Plankton, Eugene H. Krabs, Squidward Tentacles, Incidentals, Fred, Tom, Incidental 18, Gary the Snail, The Alphabet Song, Patrick Star, Plankton's lab, Chum Bucket glove",Plankton!
"August 7, 1999",Fred Miller,,1999,Derek Drymon,4a,,,,"""Boating School""","""Plankton!""",2515-116,"10 minutes, 48 seconds",1,"""Boating School""",Sherm Cohen,Aaron Springer,,,,10:00 am,2.83,"['Sherm Cohen', 'Aaron Springer', 'Doug Lawrence']","Squidward Tentacles, SpongeBob SquarePants, Patrick Star, Gary the Snail",Naughty Nautical Neighbors
"August 7, 1999",Tom Yasumi,,1999,Derek Drymon,4b,,,,"""Pizza Delivery""","""Naughty Nautical Neighbors""",2515-104,"10 minutes, 48 seconds",1,"""Naughty Nautical Neighbors""","Ennio Torresan, Jr.",Erik Wiese,,,,10:15 am,2.83,"['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']","SpongeBob SquarePants, Gary the Snail, Squidward Tentacles, Mrs. Puff, Patrick Star, Incidentals, Fred, Incidental 2, Incidental 25, Joe, Incidental 27, Incidental 50",Boating School
"August 14, 1999",Sean Dempsey,,1999,Derek Drymon,5a,,,,"""Home Sweet Pineapple""","""Boating School""",2515-107,"10 minutes, 45 seconds",1,"""Home Sweet Pineapple""",Sherm Cohen,Aaron Springer,,,,10:00 am,2.47,"['Sherm Cohen', 'Aaron Springer', 'Peter Burns']","Squidward Tentacles, SpongeBob SquarePants, Eugene H. Krabs, Sea urchins, Pioneers, Swordfish trucker, Customer",Pizza Delivery
